strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,50-59,Total,Total,958,710,527,27997
2One-Way,2009,Statewide,Total,50-59,Total,Total,935,702,563,29573
2One-Way,2010,Statewide,Total,50-59,Total,Total,910,559,514,31024
2One-Way,2011,Statewide,Total,50-59,Total,Total,828,520,480,32316
2One-Way,2012,Statewide,Total,50-59,Total,Total,806,481,441,33632
2One-Way,2013,Statewide,Total,50-59,Total,Total,775,389,368,34964
2One-Way,2014,Statewide,Total,50-59,Total,Total,768,357,426,35801
2One-Way,2015,Statewide,Total,50-59,Total,Total,690,330,408,36407
2One-Way,2016,Statewide,Total,50-59,Total,Total,664,340,382,36661
2One-Way,2017,Statewide,Total,50-59,Total,Total,497,300,349,35740
