strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,Total,Asian/Pacific Islander,Total,23,61,104,1183
2One-Way,2009,Statewide,Total,Total,Asian/Pacific Islander,Total,6,40,116,1280
2One-Way,2010,Statewide,Total,Total,Asian/Pacific Islander,Total,9,31,84,1341
2One-Way,2011,Statewide,Total,Total,Asian/Pacific Islander,Total,8,40,90,1402
2One-Way,2012,Statewide,Total,Total,Asian/Pacific Islander,Total,7,31,91,1465
2One-Way,2013,Statewide,Total,Total,Asian/Pacific Islander,Total,10,25,90,1518
2One-Way,2014,Statewide,Total,Total,Asian/Pacific Islander,Total,10,32,115,1622
2One-Way,2015,Statewide,Total,Total,Asian/Pacific Islander,Total,14,40,108,1695
2One-Way,2016,Statewide,Total,Total,Asian/Pacific Islander,Total,17,41,126,1794
2One-Way,2017,Statewide,Total,Total,Asian/Pacific Islander,Total,6,42,111,1853
