strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Female,Total,Total,Total,847,1168,1204,33834
2One-Way,2009,Statewide,Female,Total,Total,Total,802,1041,1161,33813
2One-Way,2010,Statewide,Female,Total,Total,Total,661,849,994,33718
2One-Way,2011,Statewide,Female,Total,Total,Total,682,745,946,33514
2One-Way,2012,Statewide,Female,Total,Total,Total,650,642,829,33392
2One-Way,2013,Statewide,Female,Total,Total,Total,642,551,702,33081
2One-Way,2014,Statewide,Female,Total,Total,Total,624,449,730,32840
2One-Way,2015,Statewide,Female,Total,Total,Total,573,375,649,32523
2One-Way,2016,Statewide,Female,Total,Total,Total,558,426,621,32309
2One-Way,2017,Statewide,Female,Total,Total,Total,453,352,586,31580
