strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,Total,Total,Heterosexual,649,1217,1368,31698
2One-Way,2009,Statewide,Total,Total,Total,Heterosexual,630,1139,1357,32031
2One-Way,2010,Statewide,Total,Total,Total,Heterosexual,551,909,1142,32196
2One-Way,2011,Statewide,Total,Total,Total,Heterosexual,558,793,1088,32264
2One-Way,2012,Statewide,Total,Total,Total,Heterosexual,529,716,964,32391
2One-Way,2013,Statewide,Total,Total,Total,Heterosexual,539,606,827,32318
2One-Way,2014,Statewide,Total,Total,Total,Heterosexual,533,513,853,32281
2One-Way,2015,Statewide,Total,Total,Total,Heterosexual,491,424,768,32126
2One-Way,2016,Statewide,Total,Total,Total,Heterosexual,488,451,722,32024
2One-Way,2017,Statewide,Total,Total,Total,Heterosexual,401,381,664,31431
