strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,Total,Hispanic,Total,837,1276,1415,35468
2One-Way,2009,Statewide,Total,Total,Hispanic,Total,812,1153,1419,35681
2One-Way,2010,Statewide,Total,Total,Hispanic,Total,759,910,1263,35847
2One-Way,2011,Statewide,Total,Total,Hispanic,Total,758,832,1265,35843
2One-Way,2012,Statewide,Total,Total,Hispanic,Total,644,701,1199,36182
2One-Way,2013,Statewide,Total,Total,Hispanic,Total,703,663,1177,36476
2One-Way,2014,Statewide,Total,Total,Hispanic,Total,668,492,1134,36556
2One-Way,2015,Statewide,Total,Total,Hispanic,Total,593,466,1101,36599
2One-Way,2016,Statewide,Total,Total,Hispanic,Total,643,510,990,36758
2One-Way,2017,Statewide,Total,Total,Hispanic,Total,508,426,944,36307
