strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Male,Total,Total,Total,1769,2671,3341,74691
2One-Way,2009,Statewide,Male,Total,Total,Total,1688,2386,3310,75712
2One-Way,2010,Statewide,Male,Total,Total,Total,1654,2028,3117,76540
2One-Way,2011,Statewide,Male,Total,Total,Total,1595,1877,3003,77115
2One-Way,2012,Statewide,Male,Total,Total,Total,1454,1625,2853,78242
2One-Way,2013,Statewide,Male,Total,Total,Total,1440,1506,2692,79226
2One-Way,2014,Statewide,Male,Total,Total,Total,1399,1145,2727,80051
2One-Way,2015,Statewide,Male,Total,Total,Total,1338,1114,2530,80146
2One-Way,2016,Statewide,Male,Total,Total,Total,1338,1096,2271,80858
2One-Way,2017,Statewide,Male,Total,Total,Total,1091,979,2183,79874
