strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,Total,Total,MSM,452,1246,1986,35240
2One-Way,2009,Statewide,Total,Total,Total,MSM,422,1112,1994,36794
2One-Way,2010,Statewide,Total,Total,Total,MSM,431,990,2002,38207
2One-Way,2011,Statewide,Total,Total,Total,MSM,450,975,2030,39677
2One-Way,2012,Statewide,Total,Total,Total,MSM,404,881,1968,41325
2One-Way,2013,Statewide,Total,Total,Total,MSM,427,887,1938,42920
2One-Way,2014,Statewide,Total,Total,Total,MSM,417,644,2015,44613
2One-Way,2015,Statewide,Total,Total,Total,MSM,396,628,1820,45517
2One-Way,2016,Statewide,Total,Total,Total,MSM,414,597,1594,46810
2One-Way,2017,Statewide,Total,Total,Total,MSM,364,548,1558,46844
