strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,Total,Native American,Total,0,1,1,64
2One-Way,2009,Statewide,Total,Total,Native American,Total,0,1,3,67
2One-Way,2010,Statewide,Total,Total,Native American,Total,0,0,2,63
2One-Way,2011,Statewide,Total,Total,Native American,Total,1,0,1,63
2One-Way,2012,Statewide,Total,Total,Native American,Total,0,2,3,65
2One-Way,2013,Statewide,Total,Total,Native American,Total,1,0,0,63
2One-Way,2014,Statewide,Total,Total,Native American,Total,1,0,2,58
2One-Way,2015,Statewide,Total,Total,Native American,Total,0,2,1,59
2One-Way,2016,Statewide,Total,Total,Native American,Total,1,1,2,61
2One-Way,2017,Statewide,Total,Total,Native American,Total,0,0,1,54
