strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,30-39,Total,Total,260,959,1199,19622
2One-Way,2009,Statewide,Total,30-39,Total,Total,200,808,1112,18618
2One-Way,2010,Statewide,Total,30-39,Total,Total,153,662,956,17721
2One-Way,2011,Statewide,Total,30-39,Total,Total,149,602,940,17353
2One-Way,2012,Statewide,Total,30-39,Total,Total,136,504,914,17248
2One-Way,2013,Statewide,Total,30-39,Total,Total,105,459,801,17308
2One-Way,2014,Statewide,Total,30-39,Total,Total,118,374,911,17622
2One-Way,2015,Statewide,Total,30-39,Total,Total,104,342,785,17649
2One-Way,2016,Statewide,Total,30-39,Total,Total,105,351,754,18099
2One-Way,2017,Statewide,Total,30-39,Total,Total,99,359,746,18343
