strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,60+,Total,Total,552,251,205,9659
2One-Way,2009,Statewide,Total,60+,Total,Total,604,239,212,10799
2One-Way,2010,Statewide,Total,60+,Total,Total,616,214,233,12150
2One-Way,2011,Statewide,Total,60+,Total,Total,667,202,190,13500
2One-Way,2012,Statewide,Total,60+,Total,Total,662,210,200,15129
2One-Way,2013,Statewide,Total,60+,Total,Total,745,188,188,16764
2One-Way,2014,Statewide,Total,60+,Total,Total,769,150,182,18475
2One-Way,2015,Statewide,Total,60+,Total,Total,798,169,186,20207
2One-Way,2016,Statewide,Total,60+,Total,Total,839,176,168,22275
2One-Way,2017,Statewide,Total,60+,Total,Total,706,151,173,23981
