strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,Total,Black,Total,1229,1699,2002,43980
2One-Way,2009,Statewide,Total,Total,Black,Total,1174,1547,1870,44254
2One-Way,2010,Statewide,Total,Total,Black,Total,1042,1330,1744,44501
2One-Way,2011,Statewide,Total,Total,Black,Total,989,1197,1586,44625
2One-Way,2012,Statewide,Total,Total,Black,Total,983,1022,1439,44868
2One-Way,2013,Statewide,Total,Total,Black,Total,891,927,1231,44933
2One-Way,2014,Statewide,Total,Total,Black,Total,860,711,1315,45099
2One-Way,2015,Statewide,Total,Total,Black,Total,863,635,1192,44910
2One-Way,2016,Statewide,Total,Total,Black,Total,797,635,1104,44935
2One-Way,2017,Statewide,Total,Total,Black,Total,663,591,1104,44397
