strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,Total,Total,IDU,929,488,259,19398
2One-Way,2009,Statewide,Total,Total,Total,IDU,863,401,217,18580
2One-Way,2010,Statewide,Total,Total,Total,IDU,825,319,174,17795
2One-Way,2011,Statewide,Total,Total,Total,IDU,752,285,162,16922
2One-Way,2012,Statewide,Total,Total,Total,IDU,716,196,130,16203
2One-Way,2013,Statewide,Total,Total,Total,IDU,654,166,79,15558
2One-Way,2014,Statewide,Total,Total,Total,IDU,630,124,93,14785
2One-Way,2015,Statewide,Total,Total,Total,IDU,576,100,83,14093
2One-Way,2016,Statewide,Total,Total,Total,IDU,568,129,74,13543
2One-Way,2017,Statewide,Total,Total,Total,IDU,425,92,57,12860
