strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,<13,Total,Total,.,.,10,627
2One-Way,2009,Statewide,Total,<13,Total,Total,.,.,17,492
2One-Way,2010,Statewide,Total,<13,Total,Total,.,.,18,393
2One-Way,2011,Statewide,Total,<13,Total,Total,.,.,11,314
2One-Way,2012,Statewide,Total,<13,Total,Total,.,.,12,249
2One-Way,2013,Statewide,Total,<13,Total,Total,.,.,8,214
2One-Way,2014,Statewide,Total,<13,Total,Total,.,.,7,185
2One-Way,2015,Statewide,Total,<13,Total,Total,.,.,4,157
2One-Way,2016,Statewide,Total,<13,Total,Total,.,.,3,135
2One-Way,2017,Statewide,Total,<13,Total,Total,.,.,6,110
