strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,Total,Total,MSM/IDU,101,151,115,4296
2One-Way,2009,Statewide,Total,Total,Total,MSM/IDU,122,125,97,4308
2One-Way,2010,Statewide,Total,Total,Total,MSM/IDU,104,101,96,4286
2One-Way,2011,Statewide,Total,Total,Total,MSM/IDU,119,106,101,4279
2One-Way,2012,Statewide,Total,Total,Total,MSM/IDU,115,87,100,4261
2One-Way,2013,Statewide,Total,Total,Total,MSM/IDU,113,47,97,4248
2One-Way,2014,Statewide,Total,Total,Total,MSM/IDU,106,36,66,4234
2One-Way,2015,Statewide,Total,Total,Total,MSM/IDU,107,40,59,4183
2One-Way,2016,Statewide,Total,Total,Total,MSM/IDU,98,37,51,4172
2One-Way,2017,Statewide,Total,Total,Total,MSM/IDU,87,38,53,4026
