strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,Total,Multi-Race,Total,130,260,236,5923
2One-Way,2009,Statewide,Total,Total,Multi-Race,Total,175,217,254,6099
2One-Way,2010,Statewide,Total,Total,Multi-Race,Total,163,191,194,6149
2One-Way,2011,Statewide,Total,Total,Multi-Race,Total,151,168,213,6233
2One-Way,2012,Statewide,Total,Total,Multi-Race,Total,155,163,226,6301
2One-Way,2013,Statewide,Total,Total,Multi-Race,Total,144,134,254,6466
2One-Way,2014,Statewide,Total,Total,Multi-Race,Total,158,102,197,6546
2One-Way,2015,Statewide,Total,Total,Multi-Race,Total,145,108,212,6539
2One-Way,2016,Statewide,Total,Total,Multi-Race,Total,130,103,176,6633
2One-Way,2017,Statewide,Total,Total,Multi-Race,Total,145,75,134,6487
