strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,Total,Total,Pediatric,15,60,13,2532
2One-Way,2009,Statewide,Total,Total,Total,Pediatric,15,52,18,2506
2One-Way,2010,Statewide,Total,Total,Total,Pediatric,16,50,23,2491
2One-Way,2011,Statewide,Total,Total,Total,Pediatric,27,47,12,2457
2One-Way,2012,Statewide,Total,Total,Total,Pediatric,19,34,15,2440
2One-Way,2013,Statewide,Total,Total,Total,Pediatric,11,37,8,2409
2One-Way,2014,Statewide,Total,Total,Total,Pediatric,20,16,7,2379
2One-Way,2015,Statewide,Total,Total,Total,Pediatric,19,35,7,2328
2One-Way,2016,Statewide,Total,Total,Total,Pediatric,20,35,4,2317
2One-Way,2017,Statewide,Total,Total,Total,Pediatric,16,23,7,2237
