strat,year,state ,sex,age,race,risk,deaths,aidsdx,hivdx,plwdh
2One-Way,2008,Statewide,Total,Total,White,Total,396,542,787,21699
2One-Way,2009,Statewide,Total,Total,White,Total,323,469,809,21948
2One-Way,2010,Statewide,Total,Total,White,Total,342,415,824,22170
2One-Way,2011,Statewide,Total,Total,White,Total,370,385,794,22313
2One-Way,2012,Statewide,Total,Total,White,Total,315,348,724,22609
2One-Way,2013,Statewide,Total,Total,White,Total,333,308,642,22709
2One-Way,2014,Statewide,Total,Total,White,Total,326,257,694,22875
2One-Way,2015,Statewide,Total,Total,White,Total,296,238,565,22735
2One-Way,2016,Statewide,Total,Total,White,Total,308,232,494,22857
2One-Way,2017,Statewide,Total,Total,White,Total,222,197,475,22232
